# our_file	catboost_file	status	notes
gbdt/ctrs/ctr_binarization.mojo	library/cpp/grid_creator/binarization.cpp	partial	TUniformBinarizer only, plus ComputeBorders (gpu_binarization_helpers.cpp) and BuildBinarizedTarget (gpu_data/dataset_helpers.cpp); uniform_borders belongs in grid_creator/binarization.mojo when the lanes rejoin
gbdt/data/permutation.mojo	catboost/cuda/data/permutation.h	transliterated	plus data_utils.h Shuffle, libs/helpers/cpu_random.h TRandom and util/random/mersenne64.{h,cpp}; FillGroupOrder and GenerateQueryDocsOrder unported because no groupwise loss is; gated bit for bit by check-permutation against their own generator
gbdt/gpu_util/kernel/transform.mojo	catboost/cuda/cuda_util/kernel/transform.cu	partial	GatherWithMask and ScatterWithMask only (:214-276); the unmasked Gather/Scatter, Reverse and the arithmetic transforms in the same file have no caller here
gbdt/gpu_util/kernel/scan.mojo	catboost/cuda/cuda_util/kernel/scan.cu	partial	ScanVector<ui32> only (:10-19), the non-segmented arm of cuda_util/scan.h TScanVectorKernel; cub::DeviceScan becomes the same three-phase decoupling reorder_one_bit.mojo already writes out
gbdt/digest/city.mojo	util/digest/city.cpp	partial	CityHash64 unseeded only, the entry CalcCatFeatureHash uses; their CityHash 1.0 whose results DIFFER from mainline CityHash, so public vectors are the wrong oracle; gated cell for cell by check-cityhash against their own city.cpp compiled by tools/cityhash_oracle/
gbdt/cat_feature/cat_feature.mojo	catboost/libs/cat_feature/cat_feature.cpp	partial	CalcCatFeatureHash only; the float bit-punning pair unported (their pool storage decision, not adopted here)
gbdt/models/hash.mojo	catboost/libs/model/hash.h	transliterated	CalcHash and the (ui64)(int) sign-extension of ctr_provider.h:107 as cat_hash_chain_element; check-cityhash chain rows caught a Mojo cast chain ZERO-extending on first run
gbdt/options/loss_description.mojo	catboost/private/libs/options/loss_description.{h,cpp}	transliterated	loss function + its four parameter accessors
gbdt/methods/kernel/exact_estimation.mojo	catboost/cuda/methods/kernel/exact_estimation.cu	transliterated	4 kernels; deviations 66 (barrier) and 67 (bounds)
gbdt/methods/leaves_estimation/leaves_estimation_helper.mojo	catboost/cuda/methods/leaves_estimation/leaves_estimation_helper.h:64-185	partial	ComputeWeightedQuantile + ComputeExactApprox only; pairwise/groupwise unported
gbdt/gpu_util/kernel/segmented_sort.mojo	catboost/cuda/cuda_util/kernel/segmented_sort.cu	replaced	deviation 65: theirs is cub::DeviceSegmentedRadixSort; ours is their ReorderOneBit with a segment axis
gbdt/estimator.mojo	(none)	mojo_only	caller-facing surface, like cluster/estimator.mojo
gbdt/targets/kernel/multilogit.mojo	catboost/cuda/targets/kernel/multilogit.cu	partial	MultiLogit val/first-der and second-der-row only; RMSEWithUncertainty, MultiCrossEntropy, MultiRMSE, MultiClassOneVsAll, BuildConfusionMatrixBins unported
gbdt/lapack/linear_system.mojo	catboost/private/libs/lapack/linear_system.{h,cpp}	replaced	deviation 74: theirs is LAPACK dposv_ through clapack; SolveLinearSystem (packed) unported
gbdt/targets/multiclass_targets.mojo	catboost/cuda/targets/multiclass_targets.{h,cpp}	NOT PORTED	the search-side StochasticDer wiring; kernels and oracle arm are done
gbdt/targets/kernel/multilogit.mojo	catboost/cuda/targets/kernel/multilogit.cu	partial	adds a search=True mode standing for TMultiClassificationTargets::StochasticDer (multiclass_targets.cpp:22-45)
gbdt/models/kernel/add_bin_values.mojo	catboost/cuda/models/kernel/add_model_value.cu	transliterated	deviation 81: the approx dimension is block_idx.y where theirs is a buffer column count
tools/catboost_loss_oracle.py	(none)	tool	runs CatBoost CPU for the nine new losses; writes bench/oracle_losses.txt
