Source: GitHub run 35350125464 job 105616007904; excerpt, not the full log.
REFUSED byte-lm/denormal: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/denormal_ftz: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/dupes: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/odd: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/negative: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/base: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/ties: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/hashed: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/wide: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/denormal: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/denormal_ftz: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/dupes: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/odd: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/negative: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer/base: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer/ties: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer/hashed: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer/wide: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer/denormal: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer/denormal_ftz: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer/dupes: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer/odd: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer/negative: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-train/base: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-train/ties: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-train/hashed: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-train/wide: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-train/denormal: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-train/denormal_ftz: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-train/dupes: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-train/odd: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-train/negative: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED par-reference-knn-reg/ties: ValueError: ReferenceShardedNeighbors predict and plain predict differ: 103 bytes of 256
REFUSED byte-lm-resident/base: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/ties: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/hashed: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/wide: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/denormal: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/denormal_ftz: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/dupes: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/odd: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/negative: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/base: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/ties: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/hashed: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/wide: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/denormal: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/denormal_ftz: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/dupes: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/odd: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/negative: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/base: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/ties: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/hashed: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/wide: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/denormal: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/denormal_ftz: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/dupes: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/odd: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-resident/negative: rlpair: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
run-column FAIL: shard 0 exited 1
run-column FAIL: shard 1 exited 1
