| lane/fixture                 | verdict    | apple-m4         | apple-m4         | apple-m4         | apple-m4         |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| gbdt-adapter-clf/base        | IDENTICAL x2 | 933184700a044eb2 | (not run)        | (not run)        | 933184700a044eb2 |
| gbdt-adapter-clf/odd         | IDENTICAL x2 | f8f56dac8e714ab8 | (not run)        | (not run)        | f8f56dac8e714ab8 |
| gbdt-adapter-clf/ties        | IDENTICAL x2 | 492cbf5fbc9e6304 | (not run)        | (not run)        | 492cbf5fbc9e6304 |
| gbdt-adapter-reg/base        | IDENTICAL x2 | 3f8aef8d73be249c | (not run)        | (not run)        | 3f8aef8d73be249c |
| gbdt-adapter-reg/odd         | IDENTICAL x2 | 7b54ca9d69e29714 | (not run)        | (not run)        | 7b54ca9d69e29714 |
| gbdt-adapter-reg/ties        | IDENTICAL x2 | 88cba1574daa922e | (not run)        | (not run)        | 88cba1574daa922e |
| gbdt-categorical-ctr/base    | IDENTICAL x2 | 3c492b90c998f095 | (not run)        | (not run)        | 3c492b90c998f095 |
| gbdt-categorical-ctr/odd     | IDENTICAL x2 | 3f1f7468b711f825 | (not run)        | (not run)        | 3f1f7468b711f825 |
| gbdt-categorical-ctr/ties    | IDENTICAL x2 | b19fd4bbd5430219 | (not run)        | (not run)        | b19fd4bbd5430219 |
| gbdt-depthwise/base          | IDENTICAL x2 | 38726fc0c93c0bff | (not run)        | (not run)        | 38726fc0c93c0bff |
| gbdt-depthwise/odd           | IDENTICAL x2 | fb9e5c03088814f6 | (not run)        | (not run)        | fb9e5c03088814f6 |
| gbdt-depthwise/ties          | IDENTICAL x2 | 465cb10f303e005a | (not run)        | (not run)        | 465cb10f303e005a |
| gbdt-exact-mae/base          | IDENTICAL x2 | 2c8a23ac5ef0b570 | (not run)        | (not run)        | 2c8a23ac5ef0b570 |
| gbdt-exact-mae/odd           | IDENTICAL x2 | 62e0e9af15af59e8 | (not run)        | (not run)        | 62e0e9af15af59e8 |
| gbdt-exact-mae/ties          | IDENTICAL x2 | 65948ea43ed2efdd | (not run)        | (not run)        | 65948ea43ed2efdd |
| gbdt-feature-freq/base       | IDENTICAL x2 | 7d9c56b51213cb42 | (not run)        | (not run)        | 7d9c56b51213cb42 |
| gbdt-feature-freq/odd        | IDENTICAL x2 | c481331145bfb998 | (not run)        | (not run)        | c481331145bfb998 |
| gbdt-feature-freq/ties       | IDENTICAL x2 | 57ff9964d1af1d4a | (not run)        | (not run)        | 57ff9964d1af1d4a |
| gbdt-lossguide-newtoncosine/base | IDENTICAL x2 | b5246f258d7f7fd5 | (not run)        | (not run)        | b5246f258d7f7fd5 |
| gbdt-lossguide-newtoncosine/odd | IDENTICAL x2 | f37e48556364dee2 | (not run)        | (not run)        | f37e48556364dee2 |
| gbdt-lossguide-newtoncosine/ties | IDENTICAL x2 | 6e49cedd249ddecb | (not run)        | (not run)        | 6e49cedd249ddecb |
| gbdt-lossguide/base          | IDENTICAL x2 | bc3017cb29615105 | (not run)        | (not run)        | bc3017cb29615105 |
| gbdt-lossguide/odd           | IDENTICAL x2 | 9fd309c55a93e6c3 | (not run)        | (not run)        | 9fd309c55a93e6c3 |
| gbdt-lossguide/ties          | IDENTICAL x2 | 19d199f7bfa16c25 | (not run)        | (not run)        | 19d199f7bfa16c25 |
| gbdt-multiclass/base         | IDENTICAL x2 | a5f1e32eedd64780 | (not run)        | (not run)        | a5f1e32eedd64780 |
| gbdt-multiclass/odd          | IDENTICAL x2 | 455dd5addb3f02c2 | (not run)        | (not run)        | 455dd5addb3f02c2 |
| gbdt-multiclass/ties         | IDENTICAL x2 | 2313d13ab4e2ab31 | (not run)        | (not run)        | 2313d13ab4e2ab31 |
| gbdt-nan-modes/base          | IDENTICAL x2 | 69ff4c8007c1f9fe | (not run)        | (not run)        | 69ff4c8007c1f9fe |
| gbdt-nan-modes/odd           | IDENTICAL x2 | 161804fea5952ecd | (not run)        | (not run)        | 161804fea5952ecd |
| gbdt-nan-modes/ties          | IDENTICAL x2 | 04e6975c827a53fb | (not run)        | (not run)        | 04e6975c827a53fb |
| gbdt-onevsall/base           | IDENTICAL x2 | 8055b03a6a9b2693 | (not run)        | (not run)        | 8055b03a6a9b2693 |
| gbdt-onevsall/odd            | IDENTICAL x2 | d1c61adcfae95dc8 | (not run)        | (not run)        | d1c61adcfae95dc8 |
| gbdt-onevsall/ties           | IDENTICAL x2 | 76e0dd66a5092560 | (not run)        | (not run)        | 76e0dd66a5092560 |
| gbdt-ordered-rmse/base       | IDENTICAL x2 | a6e77b5224108785 | (not run)        | (not run)        | a6e77b5224108785 |
| gbdt-ordered-rmse/odd        | IDENTICAL x2 | d83c83930af5d802 | (not run)        | (not run)        | d83c83930af5d802 |
| gbdt-ordered-rmse/ties       | IDENTICAL x2 | 563f339900c22c9d | (not run)        | (not run)        | 563f339900c22c9d |
| gbdt-pair-logit/base         | IDENTICAL x2 | (not run)        | (not run)        | dd8e7a425b657410 | dd8e7a425b657410 |
| gbdt-pair-logit/odd          | IDENTICAL x2 | (not run)        | (not run)        | 6b4a46eeb834e2e0 | 6b4a46eeb834e2e0 |
| gbdt-pair-logit/ties         | IDENTICAL x2 | (not run)        | (not run)        | 76ffda356c72de21 | 76ffda356c72de21 |
| gbdt-parametric-losses/base  | IDENTICAL x2 | eb682c0ae5c06ec7 | (not run)        | (not run)        | eb682c0ae5c06ec7 |
| gbdt-parametric-losses/odd   | IDENTICAL x2 | f70b7e0960454bcf | (not run)        | (not run)        | f70b7e0960454bcf |
| gbdt-parametric-losses/ties  | IDENTICAL x2 | efc6587263899c79 | (not run)        | (not run)        | efc6587263899c79 |
| gbdt-pointwise-l2-bayesian-eval/base | IDENTICAL x2 | 2ac238ddce22e2ef | (not run)        | (not run)        | 2ac238ddce22e2ef |
| gbdt-pointwise-l2-bayesian-eval/odd | IDENTICAL x2 | 59cf66d7ddc936b4 | (not run)        | (not run)        | 59cf66d7ddc936b4 |
| gbdt-pointwise-l2-bayesian-eval/ties | IDENTICAL x2 | 84ba6825b4967e89 | (not run)        | (not run)        | 84ba6825b4967e89 |
| gbdt-query-rmse/base         | IDENTICAL x2 | (not run)        | b3f448427d6e764f | (not run)        | b3f448427d6e764f |
| gbdt-query-rmse/odd          | IDENTICAL x2 | (not run)        | 13b70161e523142f | (not run)        | 13b70161e523142f |
| gbdt-query-rmse/ties         | IDENTICAL x2 | (not run)        | 40a5b5333f0a32ef | (not run)        | 40a5b5333f0a32ef |
| gbdt-rmse/base               | IDENTICAL x2 | 3f8aef8d73be249c | (not run)        | (not run)        | 3f8aef8d73be249c |
| gbdt-rmse/odd                | IDENTICAL x2 | 7b54ca9d69e29714 | (not run)        | (not run)        | 7b54ca9d69e29714 |
| gbdt-rmse/ties               | IDENTICAL x2 | 88cba1574daa922e | (not run)        | (not run)        | 88cba1574daa922e |
| gbdt-symmetric/base          | IDENTICAL x2 | 56560dec5bdb6cb9 | (not run)        | (not run)        | 56560dec5bdb6cb9 |
| gbdt-symmetric/odd           | IDENTICAL x2 | 0836bd47530040d0 | (not run)        | (not run)        | 0836bd47530040d0 |
| gbdt-symmetric/ties          | IDENTICAL x2 | b32c469f812adf25 | (not run)        | (not run)        | b32c469f812adf25 |

summary: IDENTICAL=54

| lane/fixture                 | column | verdict      | apple-m4         | apple-m4         | apple-m4         | apple-m4         |
| gbdt-feature-freq/ties       | model  | IDENTICAL x2 | a7417c31e1b422b4 | (not run)        | (not run)        | a7417c31e1b422b4 |
| gbdt-feature-freq/ties       | batch  | IDENTICAL x2 | 2de7d484a30cee05 | (not run)        | (not run)        | 2de7d484a30cee05 |
| gbdt-lossguide-newtoncosine/base | infer  | IDENTICAL x2 | 38081b2e11a30a91 | (not run)        | (not run)        | 38081b2e11a30a91 |
| gbdt-lossguide-newtoncosine/base | model  | IDENTICAL x2 | dcc933a4bdfb034f | (not run)        | (not run)        | dcc933a4bdfb034f |
| gbdt-lossguide-newtoncosine/base | batch  | IDENTICAL x2 | 132fbf3e61c14c7a | (not run)        | (not run)        | 132fbf3e61c14c7a |
| gbdt-lossguide-newtoncosine/odd | infer  | IDENTICAL x2 | 242d929eae7ea734 | (not run)        | (not run)        | 242d929eae7ea734 |
| gbdt-lossguide-newtoncosine/odd | model  | IDENTICAL x2 | cf3e76e803cf07ee | (not run)        | (not run)        | cf3e76e803cf07ee |
| gbdt-lossguide-newtoncosine/odd | batch  | IDENTICAL x2 | dc500f77d3dadbdd | (not run)        | (not run)        | dc500f77d3dadbdd |
| gbdt-lossguide-newtoncosine/ties | infer  | IDENTICAL x2 | e21aac8ebaed22f4 | (not run)        | (not run)        | e21aac8ebaed22f4 |
| gbdt-lossguide-newtoncosine/ties | model  | IDENTICAL x2 | 7f8ad257af939f4b | (not run)        | (not run)        | 7f8ad257af939f4b |
| gbdt-lossguide-newtoncosine/ties | batch  | IDENTICAL x2 | 9d15ca00d60585cb | (not run)        | (not run)        | 9d15ca00d60585cb |
| gbdt-lossguide/base          | infer  | IDENTICAL x2 | 38894a4992494eec | (not run)        | (not run)        | 38894a4992494eec |
| gbdt-lossguide/base          | model  | IDENTICAL x2 | 9e01e18241859f87 | (not run)        | (not run)        | 9e01e18241859f87 |
| gbdt-lossguide/base          | batch  | IDENTICAL x2 | e645c5854d89c482 | (not run)        | (not run)        | e645c5854d89c482 |
| gbdt-lossguide/odd           | infer  | IDENTICAL x2 | c61553f78e6fb798 | (not run)        | (not run)        | c61553f78e6fb798 |
| gbdt-lossguide/odd           | model  | IDENTICAL x2 | 7393593a5fb3ed79 | (not run)        | (not run)        | 7393593a5fb3ed79 |
| gbdt-lossguide/odd           | batch  | IDENTICAL x2 | 5232e0e0101a443e | (not run)        | (not run)        | 5232e0e0101a443e |
| gbdt-lossguide/ties          | infer  | IDENTICAL x2 | 37cf90363e2078cf | (not run)        | (not run)        | 37cf90363e2078cf |
| gbdt-lossguide/ties          | model  | IDENTICAL x2 | 3653934f21f61d9d | (not run)        | (not run)        | 3653934f21f61d9d |
| gbdt-lossguide/ties          | batch  | IDENTICAL x2 | e0ab456d446fcfe2 | (not run)        | (not run)        | e0ab456d446fcfe2 |
| gbdt-multiclass/base         | infer  | IDENTICAL x2 | eb9f3cbfed539fe0 | (not run)        | (not run)        | eb9f3cbfed539fe0 |
| gbdt-multiclass/base         | model  | IDENTICAL x2 | 33d956710bbf8d85 | (not run)        | (not run)        | 33d956710bbf8d85 |
| gbdt-multiclass/base         | batch  | IDENTICAL x2 | 3a70c328641a3a08 | (not run)        | (not run)        | 3a70c328641a3a08 |
| gbdt-multiclass/odd          | infer  | IDENTICAL x2 | 1fa8ad7b45ed2d45 | (not run)        | (not run)        | 1fa8ad7b45ed2d45 |
| gbdt-multiclass/odd          | model  | IDENTICAL x2 | 7396a283e6805a3d | (not run)        | (not run)        | 7396a283e6805a3d |
| gbdt-multiclass/odd          | batch  | IDENTICAL x2 | d59490d8d05927ad | (not run)        | (not run)        | d59490d8d05927ad |
| gbdt-multiclass/ties         | infer  | IDENTICAL x2 | 36c62ed7e9da7402 | (not run)        | (not run)        | 36c62ed7e9da7402 |
| gbdt-multiclass/ties         | model  | IDENTICAL x2 | 333644e5d21d53f8 | (not run)        | (not run)        | 333644e5d21d53f8 |
| gbdt-multiclass/ties         | batch  | IDENTICAL x2 | e8439a8a50bfbf51 | (not run)        | (not run)        | e8439a8a50bfbf51 |
| gbdt-nan-modes/base          | infer  | IDENTICAL x2 | 01fd6a33928b42a8 | (not run)        | (not run)        | 01fd6a33928b42a8 |
| gbdt-nan-modes/base          | model  | IDENTICAL x2 | d43749ca39897a78 | (not run)        | (not run)        | d43749ca39897a78 |
| gbdt-nan-modes/base          | batch  | IDENTICAL x2 | 8c08c90af3b9bafd | (not run)        | (not run)        | 8c08c90af3b9bafd |
| gbdt-nan-modes/odd           | infer  | IDENTICAL x2 | 6db4a8fb8ffcc4df | (not run)        | (not run)        | 6db4a8fb8ffcc4df |
| gbdt-nan-modes/odd           | model  | IDENTICAL x2 | d931157021dea1c1 | (not run)        | (not run)        | d931157021dea1c1 |
| gbdt-nan-modes/odd           | batch  | IDENTICAL x2 | ee6e7cfed828deb2 | (not run)        | (not run)        | ee6e7cfed828deb2 |
| gbdt-nan-modes/ties          | infer  | IDENTICAL x2 | 7e2f6402af40601a | (not run)        | (not run)        | 7e2f6402af40601a |
| gbdt-nan-modes/ties          | model  | IDENTICAL x2 | 72dda6adec940a2a | (not run)        | (not run)        | 72dda6adec940a2a |
| gbdt-nan-modes/ties          | batch  | IDENTICAL x2 | 2adbd46492fefdf1 | (not run)        | (not run)        | 2adbd46492fefdf1 |
| gbdt-onevsall/base           | infer  | IDENTICAL x2 | 9ebe038b917dc3d0 | (not run)        | (not run)        | 9ebe038b917dc3d0 |
| gbdt-onevsall/base           | model  | IDENTICAL x2 | 66c3cd878ec16470 | (not run)        | (not run)        | 66c3cd878ec16470 |
| gbdt-onevsall/base           | batch  | IDENTICAL x2 | 795bf20d55943289 | (not run)        | (not run)        | 795bf20d55943289 |
| gbdt-onevsall/odd            | infer  | IDENTICAL x2 | df5d7b6325bd9ba1 | (not run)        | (not run)        | df5d7b6325bd9ba1 |
| gbdt-onevsall/odd            | model  | IDENTICAL x2 | bb3d93d69eb06198 | (not run)        | (not run)        | bb3d93d69eb06198 |
| gbdt-onevsall/odd            | batch  | IDENTICAL x2 | 245742ae15a8bcb1 | (not run)        | (not run)        | 245742ae15a8bcb1 |
| gbdt-onevsall/ties           | infer  | IDENTICAL x2 | 597fa19abb40fb1d | (not run)        | (not run)        | 597fa19abb40fb1d |
| gbdt-onevsall/ties           | model  | IDENTICAL x2 | ad927470625838f6 | (not run)        | (not run)        | ad927470625838f6 |
| gbdt-onevsall/ties           | batch  | IDENTICAL x2 | 72bbd68979455f8c | (not run)        | (not run)        | 72bbd68979455f8c |
| gbdt-ordered-rmse/base       | infer  | IDENTICAL x2 | 3113f83d552f6e3e | (not run)        | (not run)        | 3113f83d552f6e3e |
| gbdt-ordered-rmse/base       | model  | IDENTICAL x2 | 43540d21322226ab | (not run)        | (not run)        | 43540d21322226ab |
| gbdt-ordered-rmse/base       | batch  | IDENTICAL x2 | 5cd33ee932513206 | (not run)        | (not run)        | 5cd33ee932513206 |
| gbdt-ordered-rmse/odd        | infer  | IDENTICAL x2 | c7f0cb99b920a716 | (not run)        | (not run)        | c7f0cb99b920a716 |
| gbdt-ordered-rmse/odd        | model  | IDENTICAL x2 | 4d02412a6fa569f9 | (not run)        | (not run)        | 4d02412a6fa569f9 |
| gbdt-ordered-rmse/odd        | batch  | IDENTICAL x2 | c05993b79c89e09a | (not run)        | (not run)        | c05993b79c89e09a |
| gbdt-ordered-rmse/ties       | infer  | IDENTICAL x2 | ca0189610e51bc17 | (not run)        | (not run)        | ca0189610e51bc17 |
| gbdt-ordered-rmse/ties       | model  | IDENTICAL x2 | f9192cb03ecc6ece | (not run)        | (not run)        | f9192cb03ecc6ece |
| gbdt-ordered-rmse/ties       | batch  | IDENTICAL x2 | 7fa28c2d36832787 | (not run)        | (not run)        | 7fa28c2d36832787 |
| gbdt-pair-logit/base         | infer  | IDENTICAL x2 | (not run)        | (not run)        | 5ede762eea5fe00c | 5ede762eea5fe00c |
| gbdt-pair-logit/base         | model  | IDENTICAL x2 | (not run)        | (not run)        | 8af4d84f9e7c4739 | 8af4d84f9e7c4739 |
| gbdt-pair-logit/base         | batch  | IDENTICAL x2 | (not run)        | (not run)        | ec33a79bc32b2a59 | ec33a79bc32b2a59 |
| gbdt-pair-logit/odd          | infer  | IDENTICAL x2 | (not run)        | (not run)        | 32022c09b1cf9493 | 32022c09b1cf9493 |
| gbdt-pair-logit/odd          | model  | IDENTICAL x2 | (not run)        | (not run)        | 3562b5b666ebb0ad | 3562b5b666ebb0ad |
| gbdt-pair-logit/odd          | batch  | IDENTICAL x2 | (not run)        | (not run)        | 77539de88abb29c6 | 77539de88abb29c6 |
| gbdt-pair-logit/ties         | infer  | IDENTICAL x2 | (not run)        | (not run)        | 94970681fc447121 | 94970681fc447121 |
| gbdt-pair-logit/ties         | model  | IDENTICAL x2 | (not run)        | (not run)        | db15afac90669b08 | db15afac90669b08 |
| gbdt-pair-logit/ties         | batch  | IDENTICAL x2 | (not run)        | (not run)        | c8d9043c15c0356d | c8d9043c15c0356d |
| gbdt-parametric-losses/base  | infer  | IDENTICAL x2 | e2dd23756497c207 | (not run)        | (not run)        | e2dd23756497c207 |
| gbdt-parametric-losses/base  | model  | IDENTICAL x2 | 7e2e2a88d0c131fe | (not run)        | (not run)        | 7e2e2a88d0c131fe |
| gbdt-parametric-losses/base  | batch  | IDENTICAL x2 | e3eec7c846e31ffa | (not run)        | (not run)        | e3eec7c846e31ffa |
| gbdt-parametric-losses/odd   | infer  | IDENTICAL x2 | 8e189c476f8d1a35 | (not run)        | (not run)        | 8e189c476f8d1a35 |
| gbdt-parametric-losses/odd   | model  | IDENTICAL x2 | 618dacfa57e6afe5 | (not run)        | (not run)        | 618dacfa57e6afe5 |
| gbdt-parametric-losses/odd   | batch  | IDENTICAL x2 | 512453808845915f | (not run)        | (not run)        | 512453808845915f |
| gbdt-parametric-losses/ties  | infer  | IDENTICAL x2 | d9e5a906ff57c89c | (not run)        | (not run)        | d9e5a906ff57c89c |
| gbdt-parametric-losses/ties  | model  | IDENTICAL x2 | 098b24f142083ae7 | (not run)        | (not run)        | 098b24f142083ae7 |
| gbdt-parametric-losses/ties  | batch  | IDENTICAL x2 | 8aebd06a0db0d07a | (not run)        | (not run)        | 8aebd06a0db0d07a |
| gbdt-pointwise-l2-bayesian-eval/base | infer  | IDENTICAL x2 | 2754757c200872f3 | (not run)        | (not run)        | 2754757c200872f3 |
| gbdt-pointwise-l2-bayesian-eval/base | model  | IDENTICAL x2 | c29dddb945d072a8 | (not run)        | (not run)        | c29dddb945d072a8 |
| gbdt-pointwise-l2-bayesian-eval/base | batch  | IDENTICAL x2 | 3fd0fe4443273a54 | (not run)        | (not run)        | 3fd0fe4443273a54 |
| gbdt-pointwise-l2-bayesian-eval/odd | infer  | IDENTICAL x2 | e1aec5dad8dc37f0 | (not run)        | (not run)        | e1aec5dad8dc37f0 |
| gbdt-pointwise-l2-bayesian-eval/odd | model  | IDENTICAL x2 | 6ea8282d329c6c7e | (not run)        | (not run)        | 6ea8282d329c6c7e |
| gbdt-pointwise-l2-bayesian-eval/odd | batch  | IDENTICAL x2 | 149b530e8adbf44b | (not run)        | (not run)        | 149b530e8adbf44b |
| gbdt-pointwise-l2-bayesian-eval/ties | infer  | IDENTICAL x2 | 92b20ebae1dabad7 | (not run)        | (not run)        | 92b20ebae1dabad7 |
| gbdt-pointwise-l2-bayesian-eval/ties | model  | IDENTICAL x2 | 293e124b96e008e4 | (not run)        | (not run)        | 293e124b96e008e4 |
| gbdt-pointwise-l2-bayesian-eval/ties | batch  | IDENTICAL x2 | 405d98bc60e93077 | (not run)        | (not run)        | 405d98bc60e93077 |
| gbdt-query-rmse/base         | infer  | IDENTICAL x2 | (not run)        | c5dd11cce5027431 | (not run)        | c5dd11cce5027431 |
| gbdt-query-rmse/base         | model  | IDENTICAL x2 | (not run)        | 773082ee900f4629 | (not run)        | 773082ee900f4629 |
| gbdt-query-rmse/base         | batch  | IDENTICAL x2 | (not run)        | 2f9ae940636f0782 | (not run)        | 2f9ae940636f0782 |
| gbdt-query-rmse/odd          | infer  | IDENTICAL x2 | (not run)        | 66a562a9f1518dd7 | (not run)        | 66a562a9f1518dd7 |
| gbdt-query-rmse/odd          | model  | IDENTICAL x2 | (not run)        | 850fcd0f8a7c5a1a | (not run)        | 850fcd0f8a7c5a1a |
| gbdt-query-rmse/odd          | batch  | IDENTICAL x2 | (not run)        | 8990d2af358d0692 | (not run)        | 8990d2af358d0692 |
| gbdt-query-rmse/ties         | infer  | IDENTICAL x2 | (not run)        | 82656b1f96479524 | (not run)        | 82656b1f96479524 |
| gbdt-query-rmse/ties         | model  | IDENTICAL x2 | (not run)        | a00477457a3f0913 | (not run)        | a00477457a3f0913 |
| gbdt-query-rmse/ties         | batch  | IDENTICAL x2 | (not run)        | 348dc9138ec69402 | (not run)        | 348dc9138ec69402 |
| gbdt-rmse/base               | infer  | IDENTICAL x2 | ba6284898fcd7adb | (not run)        | (not run)        | ba6284898fcd7adb |
| gbdt-rmse/base               | model  | IDENTICAL x2 | 6a7e0d174aadda21 | (not run)        | (not run)        | 6a7e0d174aadda21 |
| gbdt-rmse/base               | batch  | IDENTICAL x2 | 3a53a53abfe321f6 | (not run)        | (not run)        | 3a53a53abfe321f6 |
| gbdt-rmse/odd                | infer  | IDENTICAL x2 | 88f9e64eea1b35df | (not run)        | (not run)        | 88f9e64eea1b35df |
| gbdt-rmse/odd                | model  | IDENTICAL x2 | 7a0ea772f0108d40 | (not run)        | (not run)        | 7a0ea772f0108d40 |
| gbdt-rmse/odd                | batch  | IDENTICAL x2 | 6b459ed54f82865a | (not run)        | (not run)        | 6b459ed54f82865a |
| gbdt-rmse/ties               | infer  | IDENTICAL x2 | 4044415de3b73aee | (not run)        | (not run)        | 4044415de3b73aee |
| gbdt-rmse/ties               | model  | IDENTICAL x2 | b1eb77816b7f439a | (not run)        | (not run)        | b1eb77816b7f439a |
| gbdt-rmse/ties               | batch  | IDENTICAL x2 | 1681c6f968f338d2 | (not run)        | (not run)        | 1681c6f968f338d2 |
| gbdt-symmetric/base          | infer  | IDENTICAL x2 | e1db044dc82354ac | (not run)        | (not run)        | e1db044dc82354ac |
| gbdt-symmetric/base          | model  | IDENTICAL x2 | ee776c33f052679a | (not run)        | (not run)        | ee776c33f052679a |
| gbdt-symmetric/base          | batch  | IDENTICAL x2 | 9d36287df25eff95 | (not run)        | (not run)        | 9d36287df25eff95 |
| gbdt-symmetric/odd           | infer  | IDENTICAL x2 | 24dbd6988a519e0c | (not run)        | (not run)        | 24dbd6988a519e0c |
| gbdt-symmetric/odd           | model  | IDENTICAL x2 | 3dfdadfd1961d2b5 | (not run)        | (not run)        | 3dfdadfd1961d2b5 |
| gbdt-symmetric/odd           | batch  | IDENTICAL x2 | a60497d0f9d20e28 | (not run)        | (not run)        | a60497d0f9d20e28 |
| gbdt-symmetric/ties          | infer  | IDENTICAL x2 | e71542e71394acc3 | (not run)        | (not run)        | e71542e71394acc3 |
| gbdt-symmetric/ties          | model  | IDENTICAL x2 | d01adab1226baf49 | (not run)        | (not run)        | d01adab1226baf49 |
| gbdt-symmetric/ties          | batch  | IDENTICAL x2 | 8146b2372b89188b | (not run)        | (not run)        | 8146b2372b89188b |

summary (infer/model): IDENTICAL=102, N/A=6
summary (batch): IDENTICAL=54
summary (rlpair): 
