# folded 2197 of 3398 activities (cut at 1201); kernel+copy time 1302.533 ms; wall span 18059.167 ms
name	launches	total_ms	mean_us	share	reg_per_thread	static_smem	dyn_smem	grid	block	full_name
transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae	48	3.391	70.6	0.0026	32	0.000	0.000	49152x1x1	128x1x1	transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae
transformer_checks_transformer6A6A6A6A_9e49fedb5168a455	48	3.351	69.8	0.0026	34	0.000	0.000	49152x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_9e49fedb5168a455
transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c	48	2.848	59.3	0.0022	30	0.000	0.000	49152x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c
core_device_scan_negative_part6A6A6A6A_c691e2646998e577	4	2.066	516.4	0.0016	16	0.001	0.000	512x1x1	256x1x1	core_device_scan_negative_part6A6A6A6A_c691e2646998e577
transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a	24	1.954	81.4	0.0015	16	0.000	0.000	131072x1x1	128x1x1	transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a
transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533	24	1.940	80.8	0.0015	16	0.000	0.000	131072x1x1	128x1x1	transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533
embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999	2	1.719	859.4	0.0013	22	0.000	0.000	197x1x1	256x1x1	embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999
transformer_checks_transformer6A6A6A6A_e0aadbba61216e38	24	1.671	69.6	0.0013	34	0.000	0.000	49152x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_e0aadbba61216e38
mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2	48	1.582	33.0	0.0012	16	0.000	0.000	49152x1x1	128x1x1	mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2
transformer_impl_llama_modeli6A6A6A6A6A6A_d15039e611f15d2f	24	1.579	65.8	0.0012	32	0.000	0.000	49152x1x1	128x1x1	transformer_impl_llama_modeli6A6A6A6A6A6A_d15039e611f15d2f
training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6	2	1.541	770.4	0.0012	18	0.001	0.000	8192x1x1	256x1x1	training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6
transformer_checks_transformer6A6A6A6A_6755bf37231227cb	48	1.538	32.0	0.0012	16	0.000	0.000	49152x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_6755bf37231227cb
transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e	48	1.514	31.5	0.0012	28	0.000	0.000	49152x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e
training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752	8	1.470	183.7	0.0011	16	0.000	0.000	301542x1x1	128x1x1	training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752
training_byte_lm_block_copy__b6A6A6A6A_4f839612f5023304	24	1.139	47.4	0.0009	16	0.000	0.000	6144x9x1	256x1x1	training_byte_lm_block_copy__b6A6A6A6A_4f839612f5023304
training_byte_lm_block_copy__b6A6A6A6A_55bde5b169c3b214	24	1.134	47.3	0.0009	16	0.000	0.000	6144x9x1	256x1x1	training_byte_lm_block_copy__b6A6A6A6A_55bde5b169c3b214
transformer_checks_transformer6A6A6A6A_5f42150e59e36fb0	24	0.969	40.4	0.0007	16	0.000	0.000	49152x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_5f42150e59e36fb0
gemm_checks_gemm_identical_id6A6A6A6A6A6A_99adfa7b2bcdfe0e	48	0.920	19.2	0.0007	127	0.041	0.000	3x64x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_99adfa7b2bcdfe0e
[CUDA memcpy Device-to-Device]	48	0.824	17.2	0.0006				xx	xx	[CUDA memcpy Device-to-Device]
transformer_checks_transformer6A6A6A6A_c48a0c1f6177d9d0	24	0.740	30.8	0.0006	16	0.000	0.000	49152x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_c48a0c1f6177d9d0
embedding_checks_embedding_ide6A6A6A6A_8abd8314df0ff543	2	0.657	328.3	0.0005	20	0.000	0.000	197x1x1	256x1x1	embedding_checks_embedding_ide6A6A6A6A_8abd8314df0ff543
embedding_checks_embedding_ide6A6A6A6A_b184d11bcef68fe0	2	0.241	120.4	0.0002	24	0.000	0.000	150771x1x1	256x1x1	embedding_checks_embedding_ide6A6A6A6A_b184d11bcef68fe0
embedding_checks_embedding_ide6A6A6A6A_4fb48ea6c937e0eb	2	0.184	91.8	0.0001	16	0.000	0.000	150771x1x1	256x1x1	embedding_checks_embedding_ide6A6A6A6A_4fb48ea6c937e0eb
gemm_checks_gemm_identical_id6A6A6A6A6A6A_55fe6c135aba7469	50	0.162	3.2	0.0001	21	0.008	0.000	1x1x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_55fe6c135aba7469
embedding_checks_embedding_ide6A6A6A6A_a7ec9023618e6adf	2	0.071	35.6	0.0001	20	0.000	0.000	24576x1x1	256x1x1	embedding_checks_embedding_ide6A6A6A6A_a7ec9023618e6adf
[CUDA memset]	48	0.038	0.8	0.0000				xx	xx	[CUDA memset]
[CUDA memcpy Host-to-Device]	4	0.018	4.5	0.0000				xx	xx	[CUDA memcpy Host-to-Device]
gemm_checks_gemm_identical_id6A6A6A6A6A6A_d3026edf3dadc3c0	2	0.012	6.0	0.0000	70	0.009	0.000	1x64x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_d3026edf3dadc3c0
training_checks_loss_ce_nll_k6A6A6A6A6A6A_2c9bba806d31a4e3	2	0.005	2.6	0.0000	16	0.000	0.000	32x1x1	256x1x1	training_checks_loss_ce_nll_k6A6A6A6A6A6A_2c9bba806d31a4e3
training_checks_loss_ce_logde6A6A6A6A6A6A_d35a11b1836f73dc	2	0.003	1.6	0.0000	16	0.000	0.000	32x1x1	256x1x1	training_checks_loss_ce_logde6A6A6A6A6A6A_d35a11b1836f73dc
training_checks_loss_ce_divid6A6A6A6A6A6A_05fcd2ee21816cf8	2	0.003	1.3	0.0000	16	0.000	0.000	1x1x1	1x1x1	training_checks_loss_ce_divid6A6A6A6A6A6A_05fcd2ee21816cf8
training_checks_loss_ce_row_n6A6A6A6A6A6A_2bb60afb8c8084e0	2	0.003	1.3	0.0000	16	0.000	0.000	32x1x1	256x1x1	training_checks_loss_ce_row_n6A6A6A6A6A6A_2bb60afb8c8084e0
