Verification coverage inventory — no algorithms executed
246 appendix entries; 256 registered lanes; backend cpu
186 available, 15 withheld, 55 excluded, 0 unavailable

Lane | status | batch check | reason
knn-chebyshev | available | check | 
knn-cosine | available | check | 
knn-minkowski-p3 | available | check | 
knn-rbc | available | check | 
knn-clf-distance | available | check | 
knn-reg-distance | available | check | 
radius-manhattan | available | check | 
radius-chebyshev | available | check | 
radius-minkowski-p3 | available | check | 
standard-scaler-no-mean | available | check | 
standard-scaler-no-std | available | check | 
minmax-scaler-clip | available | check | 
spectral-precomputed | available | check | 
holtwinters-multiplicative | available | check | 
kpss | available | check | 
select-d | available | check | 
arima-011 | available | check | 
arima-seasonal-c | available | check | 
arima-exog | available | check | 
arima-exog-seasonal | available | check | 
gp-normalize-y | available | check | 
gp-sample-y | available | not_applicable | n/a:jointly-correlated (sample_y draws all rows of a call from one joint posterior)
gp-sample-y-normalize | available | not_applicable | n/a:jointly-correlated (sample_y draws all rows of a call from one joint posterior)
gp-optimize | available | check | 
gp-optimize-restarts | available | check | 
gp-matern12 | available | check | 
gp-matern32 | available | check | 
gp-matern52-ard | available | check | 
gemm-transposed | available | check | 
linalg-qr | withheld | not_applicable | unwatched
linalg-eigh | withheld | not_applicable | unwatched
linalg-svdvals | withheld | not_applicable | unwatched
metrics-classification | available | check | 
metrics-homogeneity-completeness | available | not_applicable | n/a:global-contingency-reduction (three scalar scores over all labels; no per-row output)
metrics-fowlkes-mallows | available | not_applicable | n/a:function
tokenizer | available | check | 
bpe-trainer | available | not_applicable | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output)
bpe-vocabulary | available | not_applicable | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output)
tokenized-corpus | available | not_applicable | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output)
hf-checkpoint | withheld | not_applicable | unwatched
hf-tokenizer | withheld | not_applicable | unwatched
hf-causal-lm | withheld | check | unwatched
cross-val | available | check | 
cross-val-folds | available | not_applicable | n/a:function
cholesky | available | check | 
kernel-ridge | available | check | 
nystroem | available | check | 
kernel-ridge-poly | available | check | 
kernel-ridge-sigmoid | available | check | 
kernel-ridge-laplacian | available | check | 
nystroem-poly | available | check | 
nystroem-sigmoid | available | check | 
nystroem-laplacian | available | check | 
rbf-sampler | available | check | 
gmm | available | check | 
gmm-random-init | available | check | 
gmm-sample | available | not_applicable | n/a:no-batch-axis (GaussianMixture.sample takes no input rows)
gmm-random-init-sample | available | not_applicable | n/a:no-batch-axis (GaussianMixture.sample takes no input rows)
hdbscan | available | check | 
hdbscan-leaf | available | check | 
bootstrap | available | check | 
permutation-test | available | check | 
monte-carlo | available | not_applicable | n/a:scalar-fold (resample.monte_carlo_integrate returns only integral, mean, volume and closed_form folded over [i_first, i_first + n_samples) by the pinned chunk tree, python/mojolearn/resample.py:196; no per-sample output exists to compare an i_first range against)
ordered-gradient-sum | available | not_applicable | n/a:ordered-shard-reduction (the specified shard order defines the sum; no per-row prediction)
grad-accumulation | withheld | not_applicable | unwatched
training-primitives | available | check | 
ivf | available | check | 
ivf-euclidean | available | check | 
ivf-extend | available | check | 
embedding | available | check | 
embedding-sort | available | check | 
kmeans-sqrt | available | check | 
kmeans-classic-pp | available | check | 
par-forest | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-forest-et | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-boosting | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-kmeans | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-gram | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-logistic | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-cd | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-svm | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-gp | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-dbscan | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-scaler | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-arima | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-forecast-arima | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-mlp | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-samba | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-byte-lm | excluded | not_applicable | no declared CPU implementation of this parallel driver; GPU execution required
par-queries-knn | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-queries-radius | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-queries-kde | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-reference-knn | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-reference-knn-reg | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-graph-agglomerative | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-graph-spectral | excluded | not_applicable | no declared CPU implementation of this parallel driver; GPU execution required
par-graph-umap | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-ordered-rmse | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-ordered | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-border-types | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-feature-freq | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-boosting-pointwise | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-holtwinters | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-forecast-holtwinters | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-byte-lm-model-pool | excluded | not_applicable | no declared CPU implementation of this parallel driver; GPU execution required
par-byte-lm-offload | excluded | not_applicable | no declared CPU implementation of this parallel driver; GPU execution required
par-samba-clip | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
iforest | available | check | 
iforest-tuned | available | check | 
par-iforest | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-forest-pool | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-gmm | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-resample | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-hdbscan | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-cholesky | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-kernel-ridge | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-nystroem | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-rbf-sampler | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-forest-reg | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-forest-et-clf | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-boosting-clf | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-boosting-reg | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-gram-ols | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-gram-pca | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-gram-tsvd | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-cd-elasticnet | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-svm-svr | excluded | check | no declared CPU implementation of this parallel driver; GPU execution required
par-scaler-minmax | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-queries-nn | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending
par-ivf | excluded | check | CPU logical-shard replay available with --include-pending; physical multi-GPU qualification pending

Historical build negative controls cover every mapped lane/part for 200 of 246 appendix entries.
This is historical evidence on listed fixtures, not qualification of this wheel.
Use --json for sabotage pairs, backend records and one-versus-multiple GPU comparisons.
Historical snapshot was generated from a different harness; newer lanes may lack evidence entries.

Saved-model entries (portable CPU probes plus dedicated gates):
- saved gradient boosting models on a CPU (HostGBDT): verify --models-only (available); additional gate: tools/classical_host_gate.py
- saved forests on a CPU (HostForest): verify --models-only (available); additional gate: tools/forest_host_gate.py

CPU execution routes: 222, including 21 logical-shard drivers; 34 parallel drivers still require GPUs.
Use verify --include-pending --batch-checks to exercise pending CPU routes and extended properties; unqualified results remain incomplete.

References describe recorded fixtures, not all possible inputs or hardware.
A single-device parallel driver run does not certify multiple GPUs.
Gradient, batch-size, ragged and sampler/replay checks require --batch-checks; they are not implicit in --all.
The appendix's seasonal-difference selection label means select_d with caller-supplied D.
Use --json for all 246 entry mappings and per-property reference counts.
