# CatBoost files and symbols this section deliberately does NOT implementation, and why.
# A file absent from both this list. Keep both complete.
# their_file	symbol	why_not_ported
catboost/cuda/gpu_data/feature_layout_common.h	TCpuGrid::SkipInSplitSearch, TCFeature::SkipFirstBinInScoreCount	NOT IMPLEMENTED. Driven exclusively by exclusive-feature-bundles (IsFeatureBundle), which this implementation does not support. TCFeature is 6 fields here and 7 in the reference for this reason.
catboost/cuda/gpu_data/compressed_index.h	TCompressedDataSet	The LAYOUT half is implemented as gbdt/gpu_data/compressed_index_builder.mojo. The container half -- per-device slices, the policy-keyed map, GetBestSplitProperties -- is not, because at one device it is a single flat buffer.
catboost/cuda/gpu_data/doc_parallel_dataset.h	TDocParallelDataSet	NOT IMPLEMENTED as a class. Its content that this implementation needs -- the compressed index, the permutation and the target -- is carried as separate arguments through gbdt/methods/doc_parallel_boosting.fit rather than bundled. No behavior depends on the bundling at one device.
catboost/cuda/gpu_data/doc_parallel_dataset_builder.cpp	TDocParallelDataSetBuilder	NOT IMPLEMENTED. Its permutation-block decision is the one thing downstream reads and it is pinned: the doc-parallel builder takes blockSize = 1 (:62-64 is the FEATURE-parallel one), which gbdt/data/permutation.mojo already assumes and states.
catboost/private/libs/options/catboost_options.cpp	SetLeavesEstimationDefault's `if (treeConfig.L2Reg == 0.0f) { treeConfig.L2Reg = 1e-20f; }` (:357-359) for an explicit l2_leaf_reg=0	gbdt/options/catboost_options.mojo::l2_leaf_reg_effective restates it and nothing calls it, so an explicit 0 reaches the fit as 0. Read effect: the Float32 leaf Hessian `w + l2` (leaves_estimation.mojo) gives the same bits (an empty leaf is 0 on both sides; `w + 1e-20` rounds to `w`); the Float64 walker lambda (`_estimate_and_apply`) can differ in the last bits for a leaf whose der2 sum is below about 1e-4. The structure searchers' scores were not audited for it. Applying it could move the recorded l2=0 cells (tools/e2_matrix_fit.py gbdt_rmse_l2reg0, checks/min_split_gain_binding.py, checks/min_child_hessian_binding.py), so it is recorded here; YetiRank, whose default is 0, applies it
catboost/private/libs/options/loss_description.cpp	GetYetiRankPermutations / GetYetiRankDecay user values	YetiRank trains at the reference defaults (permutations 10, decay 0.85); GradientBoosting has no surface for the loss parameters
catboost/cuda/methods/dynamic_boosting.h	TDynamicBoosting test cursor (:423-430) and its progress tracker's test metrics	an eval set, use_best_model on it and the overfitting detector under boosting_type='Ordered'; refused by name in ensemble.py and gbdt/train.mojo (lane/catboost-parity). The Plain fit's test arm is gbdt/methods/doc_parallel_boosting.mojo
catboost/cuda/gpu_data/feature_parallel_dataset_builder.cpp	permutation-dependent CTR datasets (:124-160)	categorical columns that build CTRs under boosting_type='Ordered' (one-hot columns are split candidates and are supported); refused by name in gbdt/train.mojo
catboost/cuda/methods/dynamic_boosting.h	CreateFolds over query groups (:189-223, NextQueryOffsetForLine with a non-trivial grouping)	QueryRMSE, PairLogit and YetiRank under boosting_type='Ordered'; refused by name. The one-device fold boundaries are also used on several devices (their :194-198 widening is not applied), so a multi-GPU Ordered fit equals the one-GPU fit bit for bit
catboost/libs/helpers/restorable_rng.h	TRestorableFastRng64 (the learn-pool shuffle ShuffleLearnDataIfNeeded, private/libs/algo/preprocess.cpp:161-199)	DELIBERATELY DIVERGENT: restated for Ordered boosting as permutation.shuffle over TRandom seeded from random_state (gbdt/data/ordered_plan.mojo): the same uniformly random order of the pool, not their draw
