# folded 2197 of 3398 activities (cut at 1201); kernel+copy time 1095.613 ms; wall span 14853.270 ms
name	launches	total_ms	mean_us	share	reg_per_thread	static_smem	dyn_smem	grid	block	full_name
embedding_checks_embedding_ide6A6A6A6A_4fb48ea6c937e0eb	2	0.183	91.7	0.0002	16	0.000	0.000	150771x1x1	256x1x1	embedding_checks_embedding_ide6A6A6A6A_4fb48ea6c937e0eb
gemm_checks_gemm_identical_id6A6A6A6A6A6A_55fe6c135aba7469	50	0.167	3.3	0.0002	21	0.008	0.000	1x1x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_55fe6c135aba7469
embedding_checks_embedding_ide6A6A6A6A_5cfa05e12c6f7255	2	0.141	70.5	0.0001	32	0.001	0.000	1x1x1	256x1x1	embedding_checks_embedding_ide6A6A6A6A_5cfa05e12c6f7255
embedding_checks_embedding_ide6A6A6A6A_a7ec9023618e6adf	2	0.071	35.6	0.0001	20	0.000	0.000	24576x1x1	256x1x1	embedding_checks_embedding_ide6A6A6A6A_a7ec9023618e6adf
[CUDA memset]	48	0.041	0.9	0.0000				xx	xx	[CUDA memset]
[CUDA memcpy Host-to-Device]	4	0.016	4.1	0.0000				xx	xx	[CUDA memcpy Host-to-Device]
gemm_checks_gemm_identical_id6A6A6A6A6A6A_d3026edf3dadc3c0	2	0.012	6.2	0.0000	70	0.009	0.000	1x64x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_d3026edf3dadc3c0
training_checks_loss_ce_nll_k6A6A6A6A6A6A_2c9bba806d31a4e3	2	0.005	2.4	0.0000	16	0.000	0.000	32x1x1	256x1x1	training_checks_loss_ce_nll_k6A6A6A6A6A6A_2c9bba806d31a4e3
training_checks_loss_ce_logde6A6A6A6A6A6A_d35a11b1836f73dc	2	0.003	1.7	0.0000	16	0.000	0.000	32x1x1	256x1x1	training_checks_loss_ce_logde6A6A6A6A6A6A_d35a11b1836f73dc
training_checks_loss_ce_row_n6A6A6A6A6A6A_2bb60afb8c8084e0	2	0.003	1.4	0.0000	16	0.000	0.000	32x1x1	256x1x1	training_checks_loss_ce_row_n6A6A6A6A6A6A_2bb60afb8c8084e0
training_checks_loss_ce_divid6A6A6A6A6A6A_05fcd2ee21816cf8	2	0.003	1.3	0.0000	16	0.000	0.000	1x1x1	1x1x1	training_checks_loss_ce_divid6A6A6A6A6A6A_05fcd2ee21816cf8
